Country,AgriLand,ChildrenPerWoman,DemocracyScore,Exports,FemaleParticipation,ForestArea,GDPpercapita,HealthSpendPerPerson,Hightotechnologyexports,Imports,IncomePerPerson,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,LiteracyRateAdult,LIteracyRateYouth,Populationdensity,ElectricityPerPerson,Taxrevenue,Tradebalance,Trafficdeaths,Urbanpopulationgrowth,YearlyCO2emission
Switzerland,54.425,2.312,10,29.52684145,68.70000022,11940,33508.51892,2913.029704,19.87531534,26.71442059,23522.13088,25.90952158,16.2,1.844395591,39.84800558,72.72,0,0,146.695,863.9845825,9.964013739,2.812420853,22.13729,2.388810859,36025
Taiwan,0,2.244545455,-8,0,0,0,0,0,0,0,3243.558274,0,19,0,0,67.6,0,0,0,944.7267258,0,0,0,0,24174.33333
Tajikistan,32.90082881,6.775,-7,49.2168402,78.14285714,4100,245.3328184,4.318696635,41.7450495,63.6145242,3986.594849,26.4,76.10833333,175.9521038,2.968693167,59.44,99.45124826,99.84706266,19.324,378.6732994,8.762003091,-14.397684,4.796921253,4.024865029,3591.133333
Thailand,26.81594864,5.903,-2,16.50164089,83.35714286,190040,464.9066055,67.028171,27.4471635,20.19709861,1361.448726,35.15,77.5,-0.252979517,6.536432092,58.654,90.31415233,97.42136788,67.82,193.3262652,16.18174351,-3.695457719,24.31255722,3.640336109,17097.66667
TimorLeste,15.60188299,6.132,6.5,0,59.2428578,8540,348.5492054,29.99466746,0,0,1099.701417,0,86.27777778,4.396980306,0.16415625,38.326,0,0,38.939,0,0,0,16.56348419,4.402387235,183.3333334
Togo,56.53612796,6.971,-7,42.0121935,56.95714297,4860,281.9804815,7.35062363,1.93155969,29.09316118,1511.874905,0,135.7,0.06094538,0.942185828,45.339,53.1775995,74.43957115,34.014,39.44244035,14.64933635,12.91903232,26.62271309,11.68049993,194.3333333
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.833,0,0,0,0,0,0
Tonga,43.05555556,6.371,0,22.09923203,39.48571532,90,1754.565312,99.8265465,0,57.79449769,1763.79825,0,44.6,5.909998567,3.665333835,64.214,99.24891582,99.56400874,124.763,0,0,-35.70009535,5.288154125,3.250018783,14.66666667
TrinidadandTobago,19.10331384,3.802,8,42.73949528,58.25714329,2340,4483.756701,218.2845712,0.673876284,33.33113858,5895.02905,30.515,46.1,8.922370664,17.48469052,64.892,96.67909452,99.35555612,183.121,867.2602721,26.47000082,9.408356702,15.56337,-2.000774756,4040.666667
Tunisia,55.25875386,6.737,-9,20.93460875,24.19999995,8370,866.8699901,89.55363608,3.255558283,10.85149757,2088.68455,31.62,132.9,1.329108123,9.621773071,48.867,66.68294291,88.4724542,30.091,155.2778913,19.75854793,10.08311118,28.17096901,3.858891255,3597
Turkey,48.85594377,5.721,8,3.680635043,30.48571423,101460,2060.045727,221.3860233,2.224223118,5.09142845,3363.338744,0,133.2,4.624871531,13.22610249,51.057,76.52991447,90.14728841,43.369,31.06098246,18.58659043,-1.410793407,12.11808968,4.335959492,36311
Turkmenistan,68.9766561,6.403,-7,72.58705888,83.32857077,41270,765.4058898,40.69269939,4.952147411,58.8879715,5863.007184,21.51,61.25,669.7110729,0.879112055,57.79,0,0,4.235,287.0509589,0,13.69908738,13.06992044,3.153292613,38684.8
TurksandCaicosIslands,1.052631579,0,0,0,0,340,0,0,14.38936708,0,4654.400274,0,22.76,0,0,0,0,0,12.937,0,0,0,0,0.215920357,71.50000002
Tuvalu,66.66666667,0,0,0,0,10,1395.523077,344.2652084,4.249648864,0,2280.72511,0,36.95454545,7.955672334,10.12081979,0,0,0,274.154,0,0,0,13.25611019,4.502845782,0
Uganda,49.67218858,7.117,-6,23.94062078,88.17143032,38690,241.741169,5.637434355,2.285987052,22.61808367,904.5963414,32.345,111.3,42.56635774,2.197077673,48.256,0,0,36.785,0,11.34543358,1.322537112,35.31607056,7.126647501,982.6666667
Ukraine,71.74379981,2.021,-7,48.04245023,88.15714264,95100,984.5852822,63.89465429,4.675687066,47.24339099,5697.746421,22.61,17.76363636,315.9958903,3.805797135,71.59,0,0,77.147,617.2531582,15.08637895,0.799059243,15.142752,2.417006165,408276.7333
UnitedArabEmirates,2.511961722,6.738,-8,71.29630896,33.45714242,3100,39873.7377,688.1359716,1.354405888,61.41994456,11603.48738,0,84.5,7.020729313,29.28299765,60.038,0,0,2.163,4437.535773,0.703922074,9.876364398,29.01392555,8.252732468,1243
UnitedKingdom,80.29595337,2.515,10,20.6995155,71.55714307,27930,12050.66964,2026.479621,25.05736381,21.4962822,14651.00736,0,18.7,4.207110489,35.01311666,71.79,0,0,227.307,1207.429237,27.53374674,-0.796766702,12.59824,0.30501811,606914
UnitedStatesofAmerica,47.5812756,2.467,10,5.311541993,72.51428441,3001950,18027.61393,2531.361794,30.66125744,5.169415866,23268.21419,29.85266373,21.3,4.255660381,40.10795555,70.42,0,0,21.359,1903.624007,10.15010007,0.142126127,28.09557,1.472200768,3831006.667
Uruguay,86.11587247,2.844,8,15.19461118,66.27142879,14120,4049.126411,353.9311918,3.098711442,12.19276548,5475.229744,32.72,53.1,116.1946722,17.26399017,68.576,97.47268502,98.77419103,15.851,585.9509619,17.07582853,3.001845708,6.153485,1.14732937,4884
Uzbekistan,64.0112835,6.608,-7,32.608184,81.54285649,32120,634.6498948,18.16455617,0,34.46422583,2056.69608,20.4,50.58,145.8797594,2.996522045,62.286,98.64258347,99.87434931,25.154,285.9472996,0,-1.856041832,11.8001368,3.870046596,116262.6667
